Date,AAPL,PETR4.SA,VALE3.SA
2024-11-05,222.41488647460935,31.057024002075195,57.24879837036133
2024-11-06,221.68826293945312,31.0657958984375,56.60369491577149
2024-11-07,226.42620849609372,31.16232681274414,58.57588577270508
2024-11-08,226.15716552734372,31.75029945373535,55.87564468383789
2024-11-11,223.43682861328125,31.81172752380371,54.050907135009766
2024-11-12,223.43682861328125,32.40847396850586,52.82520294189453
2024-11-13,224.32366943359372,32.36459732055664,52.6777458190918
2024-11-14,227.41270446777344,32.706844329833984,52.38283920288086
2024-11-15,224.2040863037109,,
2024-11-18,227.21340942382807,33.522979736328125,53.03716278076172
2024-11-19,227.4724884033203,33.17195129394531,53.1569709777832
2024-11-20,228.18994140625,,
2024-11-21,227.71163940429688,33.26848602294922,53.1016731262207
2024-11-22,229.05686950683597,34.593605041503906,53.61775970458984
2024-11-25,232.04624938964844,34.38299560546875,53.608543395996094
2024-11-26,234.2285003662109,34.33911895751953,52.926570892333984
2024-11-27,234.09896850585935,34.21625900268555,53.571685791015625
2024-11-28,,33.865230560302734,53.01873397827149
2024-11-29,236.490478515625,34.13727569580078,54.170711517333984
2024-12-02,238.7424774169922,34.356666564941406,54.29972839355469
2024-12-03,241.79165649414065,34.663814544677734,53.88502502441406
2024-12-04,242.1503753662109,34.444427490234375,52.834415435791016
2024-12-05,242.18028259277344,34.78667068481445,53.26755905151367
2024-12-06,241.98098754882807,34.25135803222656,52.35519027709961
2024-12-09,245.8771514892578,35.13770294189453,55.13837814331055
2024-12-10,246.8935546875,35.26933288574219,55.08308029174805
2024-12-11,245.6180725097656,35.620357513427734,54.22600555419922
2024-12-12,247.08290100097656,34.983238220214844,52.7295036315918
2024-12-13,247.2522735595703,34.76424789428711,51.93916702270508
2024-12-16,250.1519775390625,34.618255615234375,51.91127395629883
2024-12-17,252.58334350585935,34.946739196777344,52.1716194152832
2024-12-18,247.1725616455078,34.043418884277344,50.962867736816406
2024-12-19,248.90640258789065,33.906551361083984,49.99586486816406
2024-12-20,253.58978271484372,33.62369155883789,50.78620147705078
2024-12-23,254.36703491210935,33.632816314697266,51.00005722045898
2024-12-24,257.2866516113281,,
2024-12-26,258.1037292480469,33.88564682006836,51.14882659912109
2024-12-27,254.68588256835935,33.78144073486328,50.89778137207031
2024-12-30,251.3078765869141,34.28351593017578,50.72111892700195
2024-12-31,249.5341796875,,
2025-01-02,242.9874267578125,34.83296585083008,50.44217300415039
2025-01-03,242.4991455078125,34.4635124206543,49.50306701660156
2025-01-06,244.1333465576172,34.302467346191406,48.87079620361328
2025-01-07,241.3532257080078,35.03190612792969,48.39659118652344
2025-01-08,241.8414764404297,34.747711181640625,47.93168640136719
2025-01-09,,34.89927673339844,47.63414764404297
2025-01-10,236.01217651367188,34.99401092529297,47.90379333496094
2025-01-13,233.5708465576172,35.11716079711914,47.894493103027344
2025-01-14,232.45480346679688,34.880332946777344,48.21062850952149
2025-01-15,237.028564453125,35.3255729675293,48.90798568725586
2025-01-16,227.45257568359372,35.09821701049805,48.97307205200195
2025-01-17,229.16647338867188,35.24031448364258,50.66532897949219
2025-01-20,,35.3255729675293,50.47936630249024
2025-01-21,221.8524475097656,35.335044860839844,50.22831726074219
2025-01-22,223.0382232666016,35.1361083984375,48.963775634765625
2025-01-23,222.8688507080078,34.88980865478516,48.64764022827149
2025-01-24,221.991943359375,34.709815979003906,49.307804107666016
2025-01-27,229.04690551757807,35.22136688232422,50.17252731323242
2025-01-28,237.41717529296875,35.17400360107422,48.9544792175293
2025-01-29,238.5133056640625,34.95611953735352,49.09394836425781
2025-01-30,236.7495574951172,35.42030715942383,51.167423248291016
2025-01-31,235.16519165039065,35.70450210571289,50.3677864074707
2025-02-03,227.2034454345703,35.52450942993164,50.40498352050781
2025-02-04,231.9765167236328,35.17400360107422,50.22831726074219
2025-02-05,231.64767456054688,34.91822814941406,50.49796295166016
2025-02-06,232.39501953125,34.85191345214844,51.26040649414063
2025-02-07,226.8247985839844,34.652976989746094,50.98146438598633
2025-02-10,227.0941162109375,34.88980865478516,51.51145553588867
2025-02-11,232.05198669433597,34.88980865478516,51.28829956054688
2025-02-12,236.29161071777344,34.368778228759766,50.94427108764648
2025-02-13,240.9402313232422,34.406673431396484,51.00935745239258
